id,loan_amount,total_payment
Summary,,Percentage Charged Off: 3.84%
Summary,,"Total Paid Before Charge Off: $66,568.86"
38656067,26500,41.53178814278687
38654836,11200,31.64978091323602
38645713,8150,31.067698654570577
38626372,3000,19.899223098979785
38614969,3825,24.72725109922384
38606529,9650,34.206507785050064
38605667,7650,30.17596418296052
38604389,13975,29.36401439243277
38594765,12000,35.9963878720715
38585406,5000,21.92169653914077
38584817,25000,25.35353094080149
38584146,7500,28.29621560305128
38565594,23550,38.17610621124862
38554987,10000,32.848212564142
38554314,30000,50.264709108337726
38545894,6425,26.4934691674089
38544952,25000,44.925863847933535
38544832,20000,41.82010172268194
38544687,16000,33.944483956957505
38534746,13100,28.50081743952208
38516117,10000,27.041972589634685
38506322,20575,38.76564876108167
38505266,25000,42.84218545517604
38505068,16000,32.05517395038689
38486189,18000,36.600425966786986
38485707,25000,41.7019679602821
38484264,4000,22.31161365429609
38525080,15000,33.350163052055
38524692,9125,33.05288550437198
38524475,18700,32.068706291733115
38445485,5000,23.018172213234504
38444556,20000,39.04576925708502
38436227,14700,31.78889261889272
38436207,5950,27.690538579999007
38435613,25850,47.37375532393343
38424657,35000,48.543704228286266
38413524,28425,54.20622902930873
38362347,24000,34.208602914890086
38361826,35000,40.94195421502241
38342053,14400,29.675390750161583
38331938,8950,27.219835391597016
38301949,13475,38.34423033630576
38301447,35000,43.81173499746421
38282424,15050,41.03935162387581
38272763,24000,37.77459485229024
38272406,5000,25.474335869167696
38272401,8000,29.65379189194024
38251206,10775,32.25688906369531
38232153,20000,31.54872157418457
38222416,21600,40.76225073966234
38221279,14400,29.046117431975787
38182279,15000,33.69339538306859
38038467,10500,28.5653469114447
38018271,8000,30.30614183113586
37938376,15000,31.43067388665302
37927618,20000,24.433464164625413
37811630,14000,30.785084839899845
37761743,9850,32.69549540156593
37752194,13375,35.37716643799942
37732016,15000,25.78757819795649
37731131,18000,36.01718072871141
37702127,24300,41.10556727102247
37680848,20000,37.70211440298582
37720650,7900,26.181258729568963
37661094,12000,26.674104277395823
37651039,20000,32.33994151711044
37640409,11200,26.67838624480933
37630730,11200,29.47636111407539
37329237,13500,23.812073354035764
37267525,19100,43.34687976572863
37247206,10800,30.66692341063927
37077186,14000,38.76065812242142
37068125,7200,30.621292786384814
36460810,16800,35.22696974143688
10176174,35000,61.26353239753895
10175791,12000,51.86834485938496
10175450,15000,45.15100128602199
10175069,15000,43.02268878996364
10167985,8575,45.30839913034324
10167075,29175,37.95543668247082
10164607,5000,27.554902732170817
10159109,10600,39.02912105038597
10156785,21725,60.21660882394421
10149332,23675,57.02367602173134
10148049,14000,48.44044655411899
10145255,11100,42.95762500702671
10139596,15000,54.20194657302777
10138406,32350,60.844145802629136
10137648,10400,45.31568471950041
10137216,13000,24.42314426606893
10128831,8000,42.10537053410621
10125667,25000,55.40906742301604
10124658,18825,39.97696976954201
10119336,35000,70.08675355355244
10119273,25000,63.11515374192815
10117142,12000,52.56938759710971
10116955,11200,42.2047797649585
10116392,8900,26.859923442584595
10108424,15000,48.76005393685778
10107835,14000,50.73047826971222
10106511,7200,35.197043048685686
10105870,12175,53.879517139650055
10105205,18000,44.05931721768345
10104914,18000,42.05439575601795
10097781,35000,66.07903112867356
10097122,15600,46.818977988216815
10078606,19800,42.52312282984766
10077662,27000,63.3304293915828
10065534,5000,35.717028696408825
10065405,15000,39.14039271252209
10064746,17625,49.778819199456166
9934836,10000,40.02517908362898
9894595,30000,61.96033231192747
9877750,7000,29.07188479255972
9874897,35000,63.28770011976798
9874764,8000,31.20383766212681
9866655,7200,35.55198985262933
9865791,3000,23.542314050554587
9858558,16800,55.0618925785259
9858465,1200,23.29034831838823
9858115,4575,38.906885791978624
9854799,18000,51.45185548895705
9848072,21500,36.70360167988781
9848020,10000,41.99478580313109
9845904,10625,40.686030776848895
9845842,4800,37.755216941293085
9844595,33000,55.515223146825534
9838286,20000,37.77488208872653
